A monda;(A monda) <b>Mi a monda fő jellemzője?</b>;Teljesen kitalált;Valóságos alapja van;Csak mesékben fordul elő;Nincs tanulsága;Valóságos alapja van;Valóságos alapja van, ez a monda lényege.
A monda;(A monda) <b>Melyik típus NEM tartozik a mondák közé?</b>;Eredetmonda;Történelmi monda;Helyhez kötődő monda;Versmonda;Versmonda;Versmonda nem mondatípus.
A monda;(A monda) <b>Miért fontosak a mondák?</b>;Csak szórakoztatnak;Megőrzik a közösség emlékezetét;Nincs jelentőségük;Mindig igazak;Megőrzik a közösség emlékezetét;Megőrzik a közösség emlékezetét, ezért fontosak
A monda;(A monda) <b>Melyik NEM jellemző a mondára?</b>;Szájhagyomány útján terjed;Valóságmagja van;Csodás elemeket tartalmaz;Mindig hosszú regény;Mindig hosszú regény;A monda nem hosszú regény, hanem rövid elbeszélés.
A monda;(A monda) <b>Melyik a helyhez kötődő monda példája?</b>;Tihanyi visszhang;Csodaszarvas-legenda;Szent László csodái;Dugovics Titusz;Tihanyi visszhang;Tihanyi visszhang helyhez kötődő monda.
A monda;(A monda) <b>Mi a különbség a monda és a mese között?</b>;A monda valóságos alapú, a mese kitalált;Mindkettő teljesen igaz;A mese mindig tanít;A monda csak mesékben van;A monda valóságos alapú, a mese kitalált;A monda valóságos alapú, a mese kitalált.
A monda;(A monda) <b>Mi a tanulság szerepe a mondában?</b>;Nincs tnaulság;Erkölcsi üzenetet hordoz;Csak szórakoztat;Mindig versben van;Erkölcsi üzenetet hordoz;A mondák erkölcsi üzenetet hordoznak.
A monda;(A monda) <b>Hogyan terjedtek a mondák régen?</b>;Szájhagyomány útján;Könyvekben;interneten;Újságban;Szájhagyomány útján;Szájhagyomány útján terjedtek.
A monda;(A monda) <b>Melyik mondatípus magyarázza egy nép eredetét?</b>;Eredetmonda;A hős-, vagy honvédő monda;Történelmi monda;Helyhez kötődő monda;Eredetmonda;Az eredetmonda magyarázza egy nép eredetét
A monda;(A monda) <b>Miért keverednek csodás elemek a mondákban?</b>;Mert minden igaz;Hogy érdekesebbek legyenek;Csak a mese miatt;Nincs ilyen elem;Hogy érdekesebbek legyenek;Azért keverednek csodás elemek, hogy érdekesebbek legyenek.
Szent László és a kun vitéz küzdelme;(Szent László és a kun vitéz küzdelme) <b>Ki volt Szent László?</b>;Magyar király;Kun vezér;Táltos;Freskófestő;Magyar király;Szent László Magyarország egyik legnagyobb királya volt.
Szent László és a kun vitéz küzdelme;(Szent László és a kun vitéz küzdelme) <b>Milyen állatot nevezett Szent László Szögnek?</b>;Lovat;Kutyát;Szarvast;Macskát;Lovat;Szög volt Szent László lovának neve.
Szent László és a kun vitéz küzdelme;(Szent László és a kun vitéz küzdelme) <b>Miért üldözte Szent László a kun vitézt?</b>;Mert freskót festett;Mert aranyat lopott;Mert magyar lányt rabolt;Mert király akart lenni;Mert magyar lányt rabolt;A kun vitéz egy magyar lányt hurcolt magával.
Szent László és a kun vitéz küzdelme;(Szent László és a kun vitéz küzdelme) <b>Mivel erősítették meg magukat a magyarok a csata előtt?</b>;Imával;Vízivással;Futással;Oltáriszentséggel;Oltáriszentséggel;A magyarok az oltáriszentség vételével erősítették magukat.
Szent László és a kun vitéz küzdelme;(Szent László és a kun vitéz küzdelme) <b>Mi jellemzi Szent László harcát a kun vitézzel?</b>;Mitikus küzdelem;Kereskedelem;Barátság;Verseny;Mitikus küzdelem;A harc szimbolikus jelentéssel bír.
Szent László és a kun vitéz küzdelme;(Szent László és a kun vitéz küzdelme) <b>Mit szimbolizál Szent László a freskókon?</b>;Gonoszság;Világosság;Sötétség;Félelem;Világosság;Szent László a jóságot, világosságot jelképezi.
Szent László és a kun vitéz küzdelme;(Szent László és a kun vitéz küzdelme) <b>Mit szimbolizál a kun vitéz a freskókon?</b>;Jóság;Bátorság;Világosság;Sötétség;Sötétség;A kun vitéz a sötétséget, gonoszt jelképezi.
