,Main,Topics,Description,Codes,1
,printing,printing,"Let's start off by creating a short program that displays ""Hello world!"".
In Python, we use the print statement to output text. 
Note that the text should be enclosed into single or double quotes. 
The print statement needs to be followed by parentheses, which enclose the output we want to generate.
The print statement can also be used to output multiple lines of text.
Each print statement outputs text from a new line.
Python code often contains references to the comedy group Monty Python. 
This is why the words, ""spam"" and ""eggs"" are often used as placeholder variables in Python.",print('Hello world!'),2
,simple operations,simple operations,"Simple Operations
Python has the capability of carrying out calculations.
Enter a calculation directly into the print statement:
print(2 + 2)
print(5 + 4 - 3)
The spaces around the plus and minus signs here are optional 
(the code would work without them), but they make it easier to read.
Python also carries out multiplication and division, using an asterisk * to indicate multiplication and a forward slash / to indicate division.
Use parentheses to determine which operations are performed first.
Using a single slash to divide numbers produces a decimal (or float, as it is called in programming). We'll have more about floats in the next lesson.","print(2 + 2)
print(5 + 4 - 3)",3
,floats,floats,"Floats are used in Python to represent numbers that aren't integers (whole numbers).
Some examples of numbers that are represented as floats are 0.5 and -7.8237591.
They can be created directly by entering a number with a decimal point, or by using operations such as division on integers.  Computers can't store floats perfectly accurately, in the same way that we can't write down the complete decimal expansion of 1/3 (0.3333333333333333...). Keep this in mind, because it often leads to infuriating bugs!     A float is also produced by running an operation on two floats, or on a float and an integer.  A float can be added to an integer, because Python silently converts the integer to a float.","print( 3/4 )
print( 0.42 )
print( 8 / 2 )
print( 6 * 7.0 )
print( 4 + 1.65 )",4
,Exponentiation,Exponentiation **,"Besides addition, subtraction, multiplication, and division, Python also supports exponentiation, which is the raising of one number to the power of another. This operation is performed using two asterisks.
You can chain exponentiations together. In other words, you can rise a number to multiple powers. For example, 2**3**2.
You can also use floats in exponentiation. Note that the result will be a float.",print(2**5),5
,Quotient,Quotient //,"Floor division is done using two forward slashes and is used to determine the quotient of a division (the quantity produced by the division of two numbers).
You can also use floor division on floats.","print( 20 // 6 ) 
# The code above will output 3, because 6 goes into 20 three times.",6
,Remainder,Remainder %,"The modulo operator is carried out with a percent symbol (%) and is used to get the remainder of a division.
All numerical operators can also be used with floats.","print(20 % 6)
print(1.25 % 0.5)",7
,Strings,"Strings """" ''","If you want to use text in Python, you have to use a string.
A string is created by entering text between two single or double quotation marks.
The delimiter ("" or ') used for a string doesn't affect how it behaves in any way.","print('Coding in Finance')
print(""An investment in knowledge pays the best interest."")",8
,Backslash,Backslash \,"Some characters can't be directly included in a string. For instance, double quotes can't be directly included in a double quote string; this would cause it to end prematurely.

Characters like these must be escaped by placing a backslash before them.
Double quotes only need to be escaped in double quote strings, and the same is true for single quote strings.
Backslashes can also be used to escape tabs, arbitrary Unicode characters, and various other things that can't be reliably printed.",print('Brian\'s mother: He\'s not an angel. He\'s a very naughty boy!'),9
,Newlines,"Newlines \n \t """"""","\n represents a new line.
It can be used in strings to create multi-line output:
Similarly, \t represents a tab.
Newlines will be automatically added for strings that are created using three quotes.
This makes it easier to format long, multi-line texts without the need to explicitly put \n for line breaks.","print('One\nTwo\nThree')
print(""""""this
is a
multiline
text"""""")",10
,Concatenation,Concatenation,"As with integers and floats, strings in Python can be added, using a process called concatenation, which can be done on any two strings.
Even if your strings contain numbers, they are still added as strings rather than integers.
Adding a string to a number produces an error, as even though they might look similar, they are two different entities.
Strings can also be multiplied by integers. This produces a repeated version of the original string. The order of the string and the integer doesn't matter, but the string usually comes first.
Strings can't be multiplied by other strings. Strings also can't be multiplied by floats, even if the floats are whole numbers.","print(""Spam"" + 'eggs')
print(""2"" + ""2"")
print(""spam"" * 3)
print(4 * '2')",11
