<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>nulla,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>null
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>egy,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>eins
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>kettő,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>zwei
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>három,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>drei
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>négy,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>vier
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>öt,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>fünf
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>hat,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>sechs
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>hét,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>sieben
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>nyolc,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>acht
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>kilenc,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>neun
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tíz,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>zehn
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizenegy,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>elf
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizenkettő,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>zwölf
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizenhárom,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>dreizehn
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizennégy,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>vierzehn
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizenöt,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>fünfzehn
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizenhat,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>sechzehn
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizenhét,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>siebzehn
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizennyolc,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>achtzehn
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>tizenkilenc,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>neunzehn
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>húsz,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>zwanzig
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>harminc,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>dreißig
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>negyven,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>vierzig
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>ötven,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>fünfzig
<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>hatvan,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>sechzig
